subject,code,credits,title,Description
ACCT - Accounting,ACCT 5700, 3 hours.,Professional Accounting,"Overview of alternative career paths in accounting through interaction with professionals from industry, government, and other organizations. Study of professional business communication for accounting majors with an emphasis on improving written business correspondence."
ACCT - Accounting,ACCT 5710, 1.5 hours.,Professional Accounting I,"Overview of alternative career paths in accounting through interaction with professionals from public accounting, government, and corporations."
ACCT - Accounting,ACCT 5720, 1.5 hours.,Professional Accounting II,Study of professional business communication for accounting majors with an emphasis on improving written business correspondence.
ACCT - Accounting,ACCT 5800, 3 hours.,Internship in Accounting,Applied professional experience in the accounting field.
ACCT - Accounting,ACCT 5900, 1-3 hours. Repeatable for maximum 3 hours credit.,Research in Accounting,A research-intensive course requiring an original and independent research paper/project on an accounting-related topic under the supervision of a faculty member.
ACCT - Accounting,ACCT 5990E, 1-6 hours. Repeatable for maximum 6 hours credit.,Directed Study in Accounting,Directed study or research in the area of accounting.
ACCT - Accounting,ACCT 5990, 1-6 hours. Repeatable for maximum 6 hours credit.,Directed Study in Accounting,Directed study or research in the area of accounting.
ACCT - Accounting,ACCT 6000, 3 hours.,Financial Accounting,"Concepts of accounting, the basic structure of financial statements, the interpretation of corporate annual reports and limitations of such reports."
ACCT - Accounting,ACCT 7005, 3 hours. Repeatable for maximum 45 hours credit.,Graduate Student Seminar,Advanced supervised experience in an applied setting. This course may not be used to satisfy a student's approved program of study.
ACCT - Accounting,ACCT 7100, 3 hours.,Managerial I,"The design of accounting systems to serve the internal needs of management with an emphasis on underlying theory. Product costing, including activity-based costing; budgeting and other planning applications, information for decision making, planning and control application for decentralized organizations."
ACCT - Accounting,ACCT 7200, 3 hours.,"Auditing, Risk Assessment, and Control","Assurance services with focus on the audit of financial statements. The basic financial statement audit process is discussed, including the concepts of evidence, materiality, and risk. The role of professional ethics and legal liability in the auditing profession."
ACCT - Accounting,ACCT 7310, 3 hours.,Systems I,"Accounting information systems (AIS), including the role of such systems in an organization, electronic data processing, AIS applications, AIS analysis and design, AIS controls, and the audit of AIS."
ACCT - Accounting,ACCT 7320, 1.5 hours.,Accounting Systems Foundations,"To develop an appreciation for how accounting information systems can be used to maximize the success of an organization. Focuses on the traditional categories of business transactions and how those transactions are documented, stored, and reported or used by both internal and external users. In addition, the course covers documentation techniques and internal control procedures commonly found in accounting information systems."
ACCT - Accounting,ACCT 7400, 3 hours.,Taxation I,A basic federal income tax course covering concepts of taxation applicable to all taxable entities but primarily relating to individuals. Introduces research approaches to tax problems as well as methods of analysis most appropriate to taxation issues.
ACCT - Accounting,ACCT 7415, 3 hours.,Tax Policy and Research,Development of tax research tools and the development of an understanding of tax policy issues as they arise in social policy and professional accounting settings.
ACCT - Accounting,ACCT 7420, 3 hours.,Partnership Taxation,The fundamental tax and legal concepts involved in the income taxation of partnerships and partners.
ACCT - Accounting,ACCT 7430, 3 hours.,Income and Transfer Tax Planning,"Exploration of the structure and fundamental concepts of the federal transfer tax and the income taxation of trusts and estates. In addition, the course emphasizes overall tax planning techniques, with a focus on individuals, trusts, and estates."
