"course_code","course_name","description","level"
"GRG 340U","Internship and Service Learning.","Same as Urban Studies 360 . Internship experience in an urban studies-related public or nonprofit agency. The opportunity to apply the knowledge, theory, and understanding gained from courses in areas of specialization to urban issues in a professional setting. Includes an academic service-learning component. Approximately five to ten hours a week for one semester. Only one of the following may be counted: Geography 340U , 356T (DIRECTED INTRNSHPS IN URB STDS), Urban Studies 360 . Prerequisite: Upper-division standing; and Urban Studies 301 and 315 .","Upper-Division Courses"
"GRG 341K","Landscapes of Mexico and Caribbean America.","Same as Latin American Studies 330 (Topic 2: Landscapes of Mexico and Caribbean America). The natural regions and cultural landscapes of Mexico, Central America, and the West Indies. Three lecture hours a week for one semester. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 342C","Sustainable Development.","Historical and contemporary analysis of international development with a focus on the prospects for environmental sustainability. Three lecture hours a week for one semester. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 342N","Sustainable Landscapes and Seascapes.","Survey the ecological, economic, and social dimensions of sustainable uses of land-based and aquatic natural resources. Examine the sustainability of landscapes utilized for forestry, farming, agroforestry, and rangeland systems, as well as the riverscapes and seascapes utilized by people. Three lecture hours a week for one semester. Geography 342N and 356T (Topic: Sus Landscapes & Seascapes) may not both be counted. Offered on the letter-grade basis only. Prerequisite: Upper-division standing. Credit or registration for Geography 335N is recommended.","Upper-Division Courses"
"GRG 342S","Sustainability, Equity, and Health.","Same as Health and Society 347E .  Three lecture hours a week for one semester. Only one of the following may be counted: Geography 342S , 356 (Topic: Sustainability/Equity/Health), Health and Society 340 (Topic: Sustainability/Equity/Health), 347E . Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 343E","Mapping Latin America.","Same as History 363E and Latin American Studies 330 (Topic 4). Discuss the role of maps in the creation of Latin America as a specific sort of place.  As such, allows familiarity with a broad overview of Latin American history from Pre-Columbian civilizations to the modern period. Three lecture hours a week for one semester. Only one of the following may be counted: Geography 343E , 356T (Topic: Mapping Latin America), 356T (Topic 12), History 363E , 363K (Topic: Mapping Latin America), 363K (Topic 4), Latin American Studies 330 (Topic: Mapping Latin America), 330 (Topic 4). Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 344G","Environmental Law.","Examine environmental law and its impact on all life. Analyze key federal environmental statutes and leading cases in which these statutes have been interpreted by courts. Three lecture hours a week for one semester. Geography 344G and 356 (Topic: Environmental Law) may not both be counted. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 344K","Global Food, Farming, and Hunger.","Examination of contemporary transformations in global agro-food systems, with emphasis on the current paradox of epidemic obesity in some parts of the world and enduring hunger in others. Three lecture hours a week for one semester. Geography 344K and 356T (Topic: Farming, Food, and Global Hunger) may not both be counted. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 346","The Human Use of the Earth.","The state of the world from an ecological perspective. Case studies are drawn from a wide range of ecological settings and involve both traditional and modern societies. Three lecture hours a week for one semester. Prerequisite: Upper-division standing.","Upper-Division Courses"
"GRG 349S","Global Sustainability and Soil.","Same as Liberal Arts Honors 352J . Restricted to Plan I majors in the College of Liberal Arts. Examine soil as a resource from the perspectives of natural and sustainability science, including soil ecology and biodiversity, formation, fertility for ecosystems and farming systems, soil health, distinguishing characteristics in nature, taxonomy, and soil spatial variability around the globe. Three lecture hours a week for one semester. Only one of the following may be counted: Geography 349S , 356 (Topic: Global Sustnblty/Soil-Hon), Liberal Arts Honors 350 (Topic: Global Sustainability/Soil), 352J . Offered on the letter-grade basis only. Prerequisite: Upper-division standing, Geography 401C , and a cumulative grade point average of at least 3.25.","Upper-Division Courses"
